,entry_dt,orderId_1,orderId_2,symbol_1,symbol_2,near,far,side_1,side_2,qty_1,qty_2,entryprice_1,entryprice_2,exit_dt,exitprice_1,exitprice_2,netting,zscore,exit_type
0,2024-10-22 07:07:31,44971652797,29492166344,ADAUSDT,FILUSDT,10,100,BUY,SELL,14902.0,1402.7,0.3671,3.897,2024-10-22 16:01:27,0.3628,3.773,0.0101643,-0.610646,zscore_exit
1,2024-10-23 08:04:55,45007291907,18822878328,ADAUSDT,VETUSDT,10,100,SELL,BUY,2263.0,36126.0,0.3646,0.022834,2024-10-24 12:02:22,0.3423,0.022416,0.0217887,0.694752,zscore_exit
2,2024-10-22 16:03:28,452093484771,12632915719,BTCUSDT,TRXUSDT,41,100,SELL,BUY,0.159,66619.0,67187.2,0.16023,2024-10-25 08:00:39,67504.1,0.16559,0.0137824,0.735608,zscore_exit
3,2024-10-22 07:05:57,29506552510,18826142344,FILUSDT,VETUSDT,10,100,SELL,BUY,212.0,34956.0,3.891,0.023608,2024-10-25 08:02:23,3.665,0.022668,0.00924805,0.720685,zscore_exit
4,2024-10-25 12:02:04,45048358039,18832562433,ADAUSDT,VETUSDT,10,100,BUY,SELL,2401.0,35929.0,0.3437,0.022959,2024-10-26 20:02:05,0.3318,0.021587,0.0129839,-0.730622,zscore_exit
5,2024-10-24 00:00:38,32264536697,26336556599,LTCUSDT,NEARUSDT,43,100,SELL,BUY,36.418,549.0,70.01,4.647,2024-10-27 04:02:13,69.09,4.259,-0.0349516,0.728245,zscore_exit
6,2024-10-22 07:08:46,34625006384,18835138577,LINKUSDT,VETUSDT,10,100,SELL,BUY,68.18,34927.0,12.099,0.023632,2024-10-27 20:00:30,10.96,0.022025,0.0134454,0.64588,zscore_exit
7,2024-10-22 07:06:44,45062312719,34625031693,ADAUSDT,LINKUSDT,10,107,BUY,SELL,14914.0,452.28,0.3667,12.0875,2024-10-27 20:03:35,0.3393,10.958,0.00985796,-0.675682,zscore_exit
8,2024-10-27 04:02:17,29521256142,18836131604,FILUSDT,VETUSDT,10,100,BUY,SELL,235.9,37400.0,3.497,0.022057,2024-10-28 04:01:41,3.51,0.021582,0.0127372,-0.749487,zscore_exit
9,2024-10-27 20:04:16,29524470897,34637338643,FILUSDT,LINKUSDT,10,149,BUY,SELL,2356.4,755.86,3.517,10.957,2024-10-28 16:00:59,3.524,10.798,0.00831772,-0.702007,zscore_exit
10,2024-10-22 07:09:33,456103867573,69054727794,BTCUSDT,XRPUSDT,10,100,SELL,BUY,0.458,56729.6,67630.5,0.5456,2024-10-29 14:51:02,71889.4,0.5257,-0.0500251,1.80797,stoploss
11,2024-10-28 16:01:19,458232688672,34688136807,BTCUSDT,LINKUSDT,18,124,SELL,BUY,0.121,767.56,68483.5,10.7944,2024-10-31 16:02:03,70596.6,11.787,0.0301267,0.749656,zscore_exit
12,2024-10-30 20:01:49,45147267820,34706806794,ADAUSDT,LINKUSDT,10,100,BUY,SELL,15393.0,447.55,0.3555,12.2216,2024-11-01 15:42:00,0.3534,11.298,0.0352449,-0.745364,zscore_exit
13,2024-10-29 16:38:48,45154788058,18855168435,ADAUSDT,VETUSDT,10,100,SELL,BUY,2342.0,36829.0,0.3522,0.022402,2024-11-02 00:24:25,0.3625,0.020783,-0.0505488,2.26848,stoploss
14,2024-10-30 08:00:47,29564882827,34751686778,FILUSDT,LINKUSDT,10,100,BUY,SELL,2209.9,691.57,3.75,11.9817,2024-11-04 12:01:02,3.388,10.639,0.00748979,-0.694908,zscore_exit
15,2024-10-22 07:06:39,61788201175,69556006352,BNBUSDT,XRPUSDT,37,194,SELL,BUY,36.69,40166.7,597.445,0.5459,2024-11-04 20:01:24,552.4,0.5063,0.00157802,0.748859,zscore_exit
