,symbol,entry_dt,entry_price,amt,qty,tp,sl,exit_dt,exit_price,exit_type,profit_loss,fees
0,ATOMUSDT,2024-06-01 16:01:00,8.317,50000,6011.7830948659375,49.902,-33.268,2024-06-01 20:00:00,8.331,barclose,84.1649633281192,31.526511963448357
1,ATOMUSDT,2024-06-03 08:01:00,8.455,50000,-5913.660555884092,-33.82,50.730000000000004,2024-06-03 12:00:00,8.447,barclose,47.30928444707803,31.514902424600834
2,ATOMUSDT,2024-06-03 20:01:00,8.43,50000,-5931.198102016608,-33.72,50.58,2024-06-04 00:00:00,8.343,barclose,516.0142348754433,31.662544483985766
3,ATOMUSDT,2024-06-04 12:01:00,8.369,50000,5974.42944198829,50.214,-33.476,2024-06-04 16:00:00,8.519,barclose,896.1644162982456,31.78229179113395
4,ATOMUSDT,2024-06-04 16:01:00,8.529,50000,-5862.351975612616,-34.116,51.174,2024-06-05 00:00:00,8.541,barclose,-70.34822370735407,31.477840309532183
5,ATOMUSDT,2024-06-05 12:01:00,8.582,50000,-5826.147751106968,-34.328,51.492000000000004,2024-06-05 16:00:00,8.653,barclose,-413.6564903285931,31.369698205546495
6,ATOMUSDT,2024-06-06 16:01:00,8.728,50000,-5728.689275893676,-34.912,52.367999999999995,2024-06-06 20:00:00,8.661,barclose,383.82218148487726,31.620903987167736
7,ATOMUSDT,2024-06-07 20:01:00,8.02,50000,6234.413965087282,48.12,-32.08,2024-06-08 00:00:00,8.096,barclose,473.81546134663665,31.649251870324193
8,ATOMUSDT,2024-06-09 12:01:00,7.822,50000,-6392.227051904883,-31.288,46.932,2024-06-10 08:00:00,7.724,barclose,626.4382510866777,31.697328049092306
9,ATOMUSDT,2024-06-10 08:01:00,7.739,50000,6460.783046905285,46.434,-30.956,2024-06-10 12:00:00,7.837,barclose,633.1567385967171,31.699444372657965
10,ATOMUSDT,2024-06-10 12:01:00,7.839,50000,-6378.364587319811,-31.356,47.034000000000006,2024-06-11 04:00:00,7.733,barclose,676.1066462559048,31.71297359357061
11,ATOMUSDT,2024-06-11 16:01:00,7.482,50000,6682.7051590483825,44.892,-29.928,2024-06-11 20:00:00,7.537,barclose,367.5487837476591,31.615777866880514
12,ATOMUSDT,2024-06-11 20:01:00,7.523,50000,-6646.284726837698,-30.092,45.138,2024-06-12 00:00:00,7.513,barclose,66.46284726837557,31.52093579688954
13,ATOMUSDT,2024-06-12 00:01:00,7.51,50000,6657.789613848203,45.06,-30.04,2024-06-12 04:00:00,7.57,barclose,399.4673768308955,31.62583222370173
14,ATOMUSDT,2024-06-12 04:01:00,7.572,50000,-6603.275224511358,-30.288,45.432,2024-06-12 20:00:00,7.706,barclose,-884.8388800845242,31.221275752773373
15,ATOMUSDT,2024-06-12 20:01:00,7.696,50000,6496.881496881497,46.176,-30.784,2024-06-13 00:00:00,7.773,barclose,500.259875259875,31.657581860706863
16,ATOMUSDT,2024-06-13 00:01:00,7.769,50000,-6435.834727764191,-31.076,46.614000000000004,2024-06-13 04:00:00,7.657,barclose,720.81348950959,31.72705624919552
17,ATOMUSDT,2024-06-13 04:01:00,7.662,50000,6525.711302531976,45.972,-30.648,2024-06-13 12:00:00,7.585,barclose,-502.47977029496184,31.341718872357085
18,ATOMUSDT,2024-06-13 16:01:00,7.439,50000,6721.333512568894,44.634,-29.756,2024-06-13 20:00:00,7.452,barclose,87.37733566339494,31.52752386073397
19,ATOMUSDT,2024-06-14 08:01:00,7.469,50000,-6694.336591243808,-29.876,44.814,2024-06-14 12:00:00,7.475,barclose,-40.16601954745842,31.487347703842552
20,ATOMUSDT,2024-06-14 20:01:00,7.02,50000,7122.507122507123,42.12,-28.08,2024-06-15 00:00:00,7.108,barclose,626.7806267806274,31.6974358974359
21,ATOMUSDT,2024-06-15 04:01:00,7.152,50000,6991.051454138702,42.912,-28.608,2024-06-15 08:00:00,7.17,barclose,125.8389261744952,31.539639261744966
22,ATOMUSDT,2024-06-17 00:01:00,7.215,50000,-6930.00693000693,-28.86,43.29,2024-06-17 04:00:00,7.12,barclose,658.3506583506567,31.707380457380456
23,ATOMUSDT,2024-06-17 04:01:00,7.118,50000,7024.445068839561,42.708,-28.472,2024-06-17 08:00:00,7.138,barclose,140.48890137678822,31.544254003933688
24,ATOMUSDT,2024-06-17 16:01:00,6.95,50000,7194.244604316546,41.7,-27.8,2024-06-17 20:00:00,7.12,barclose,1223.0215827338125,31.88525179856115
